Name of School,School ID,Family Involvement Score,Teachers Score,Adequate Yearly Progress Made?,Parent Engagement Score,Average Student Attendance,Average Teacher Attendance,"Elementary, Middle, or High School"
William E Dever Elementary School,609884,66,36,No,50,95.5,95.9,ES
Christian Ebinger Elementary School,609899,72,62,Yes,52,95.9,95.2,ES
Florence Nightingale Elementary School,610096,54,72,No,48,95.6,95.8,ES
George F Cassell Elementary School,609849,67,61,Yes,52,94.4,95.1,ES
North-Grand High School,609691,,,No,,88.6,95.6,HS
Franz Peter Schubert Elementary School,610165,31,26,No,47,95.8,97.0,ES
Dumas Technology Academy,610266,,,No,48,92.5,95.6,ES
Henry H Nash Elementary School,610092,,,No,,95.1,95.8,ES
John D Shoop Math-Science Technical Academy Elementary School,610176,47,42,No,52,93.2,96.3,ES
Orr Academy High School,610389,,,No,,66.3,95.0,HS
Chicago Academy Elementary School,610248,,,Yes,47,96.3,96.1,ES
Michael Faraday Elementary School,610055,,,No,50,93.3,94.6,ES
Ida B Wells Preparatory Elementary Academy,610110,,,No,,93.2,92.8,ES
Marquette Elementary School,610053,,,No,43,93.1,95.3,ES
Richard T Crane Technical Preparatory High School,609702,,,No,47,57.9,93.9,HS
Charles R Henderson Elementary School,609986,,,No,46,89.2,93.6,ES
Albert R Sabin Elementary Magnet School,610342,,,No,,94.7,95.0,ES
James G Blaine Elementary School,609803,,,Yes,40,96.4,96.0,ES
Julia C Lathrop Elementary School,610253,,,No,40,90.5,95.5,ES
Thurgood Marshall Middle School,610321,,,No,,94.0,96.0,MS
Augustus H Burley Elementary School,609820,,,Yes,59,96.5,95.0,ES
Peter Cooper Elementary Dual Language Academy,609867,,,No,,96.2,96.3,ES
Daniel C Beard Elementary School,610083,,,,57,91.9,94.3,ES
Jonathan Y Scammon Elementary School,610159,,,No,48,95.9,95.3,ES
John C Coonley Elementary School,609866,90,56,Yes,58,95.9,96.5,ES
Hannah G Solomon Elementary School,610182,96,62,Yes,52,95.8,95.7,ES
Sidney Sawyer Elementary School,610157,30,29,No,49,96.8,96.4,ES
Mount Greenwood Elementary School,610082,,,Yes,,96.0,96.1,ES
Talman Elementary School,610249,99,81,No,57,96.2,95.5,ES
Ludwig Van Beethoven Elementary School,610237,,,No,46,93.7,94.7,ES
Mary E McDowell Elementary School,610312,49,53,No,,95.5,96.1,ES
William J Onahan Elementary School,610104,59,39,Yes,47,95.7,96.1,ES
William Bishop Owen Scholastic Academy Elementary School,610109,61,47,Yes,58,96.9,95.0,ES
Daniel Webster Elementary School,610221,56,44,No,45,94.8,97.2,ES
Kenwood Academy High School,609746,,,No,,88.4,95.3,HS
Ellen H Richards Career Academy High School,609682,23,34,No,43,90.6,95.7,HS
Hawthorne Elementary Scholastic Academy,609974,88,84,Yes,58,96.9,96.5,ES
Collins Academy High School,610499,42,48,No,54,91.4,96.6,HS
South Loop Elementary School,609990,66,46,Yes,54,95.3,97.2,ES
Walter Reed Elementary School,610264,,,No,47,92.4,93.2,ES
Charles Allen Prosser Career Academy High School,609679,47,44,No,46,86.0,94.4,HS
Jacob Beidler Elementary School,609797,,,No,,95.4,96.6,ES
James R Doolittle Jr Elementary School,609891,,,No,44,91.4,94.7,ES
George Westinghouse High School,609693,72,71,,54,93.6,96.8,HS
Disney II Magnet School,610515,99,53,Yes,62,97.3,96.5,ES
Lawndale Elementary Community Academy,610034,,,No,,91.0,94.8,ES
Roberto Clemente Community Academy High School,609759,31,25,No,,69.6,94.2,HS
Walter S Christopher Elementary School,609855,48,64,No,52,86.1,94.1,ES
Edward Tilden Career Community Academy High School,609735,57,35,No,51,78.4,95.2,HS
New Field Elementary School,610284,,,No,51,96.2,95.6,ES
John Foster Dulles Elementary School,610263,22,21,No,51,94.1,97.3,ES
Robert Emmet Elementary School,609906,,,No,51,89.8,94.8,ES
Hiram H Belding Elementary School,609798,63,51,No,53,95.0,96.2,ES
Nathan R Goldblatt Elementary School,610348,,,No,53,92.9,95.6,ES
Eli Whitney Elementary School,610227,,,No,,95.8,95.2,ES
Wolfgang A Mozart Elementary School,610088,,,No,50,95.2,96.4,ES
John W Cook Elementary School,609864,,,No,45,94.0,94.0,ES
Horace Mann Elementary School,610052,31,24,No,44,92.6,94.5,ES
Agustin Lara Elementary Academy,609993,44,48,No,53,95.5,95.8,ES
John B Drake Elementary School,609894,20,16,No,50,93.8,95.9,ES
Thomas Hoyne Elementary School,610002,66,66,No,,94.8,95.4,ES
Phobe Apperson Hearst Elementary School,609981,,,No,45,92.1,95.8,ES
Perkins Bass Elementary School,609791,50,42,No,47,92.1,96.4,ES
Jacqueline B Vaughn Occupational High School,609766,72,69,,63,87.6,95.5,HS
Charles W Earle Elementary School,609897,,,No,53,93.8,94.6,ES
Frank I Bennett Elementary School,609800,46,56,No,47,92.5,95.9,ES
Arthur E Canty Elementary School,609836,64,47,Yes,66,96.1,96.1,ES
Samuel Gompers Fine Arts Options Elementary School,609943,42,59,No,49,93.6,96.0,ES
Stephen K Hayt Elementary School,609976,61,66,No,,95.6,96.0,ES
Patrick Henry Elementary School,609988,56,45,No,52,95.1,95.9,ES
Francisco I Madero Middle School,610215,32,34,No,47,95.1,97.0,MS
Whitney M Young Magnet High School,609755,80,46,Yes,53,94.6,94.9,HS
William H Ryder Math & Science Specialty Elementary School,610153,,,No,,93.0,94.3,ES
Matthew Gallistel Elementary Language Academy,609935,45,40,No,50,95.1,96.3,ES
James Ward Elementary School,610217,65,56,Yes,48,97.8,96.9,ES
Hanson Park Elementary School,610068,,,No,50,95.0,94.9,ES
Spry Community Links High School,610357,,,No,56,95.6,95.7,HS
Dr  Martin Luther King  Jr  College Prep High School,609751,,,No,56,92.9,96.3,HS
Walt Disney Magnet Elementary School,610363,,,No,,96.4,96.4,ES
Louis Armstrong Math & Science Elementary School,610156,,,No,59,92.6,97.9,ES
